///////////////////////////////////////////////////////////////////////////////////
///                                                                             ///
///                                                                             ///
///              QQQ       UUU  UUU    KKK   KK    EEEEEEE    TTTTTTT           ///
///             Q   Q       u    U      K   K       E    E    T  T  T           ///
///            Q     Q      U    U      K  K        E  E         T              ///
///            Q     Q      U    U      KKK         EEEE         T              ///
///            Q QQQ Q      U    U      K  K        E  E         T              ///
///             Q   Q       U    U      K   K       E    E       T              ///
///              QQQ QQ      UUUU      KKK   KK    EEEEEEE      TTT             ///
///                                                                             ///
///                      Quantum Computing Simulator Ver 0.9.4                  ///
///                                                                             ///
///        Copyright 2019-2022                                                  ///
///        The Quket Developers                                                 ///
///        All rights Reserved.                                                 ///
///                                                                             ///
///////////////////////////////////////////////////////////////////////////////////
2022-09-16 00:03:13.509674: 
16 processes x 2 = Total 32 cores
API for qulacs: openmp
Number of cpus in the main node (pinode01): 16

##################### INPUT ########################
basis        = hubbard
n_electrons  = 7
multiplicity = 2
hubbard_nx   = 6
hubbard_u    = 8
method       = vqe
ansatz       = uhf
run_fci      = 0

@@@
method       = vqe
ansatz       = uccsd
####################################################

+-------------+
|  Job #   1  |
+-------------+
Hubbard model: 
   nx = 6
   ny = 1
   U  = 8.00
   Ne = 7
TODO: Pauli_list is not supported for ansatz = uhf.
Tapering-Off Results:
List of redundant qubits:  [0, 1]
Qubit: 0    Tau: 1.0 [Z0 Z2 Z4 Z6 Z8 Z10]
Qubit: 1    Tau: 1.0 [Z1 Z3 Z5 Z7 Z9 Z11]

TODO: Pauli_list is not supported for ansatz = uhf.
Tapering-Off Results:
List of redundant qubits:  [0, 1]
Qubit: 0    Tau: 1.0 [Z0 Z2 Z4 Z6 Z8 Z10]
Qubit: 1    Tau: 1.0 [Z1 Z3 Z5 Z7 Z9 Z11]

Entered VQE driver
Number of parameters: Singles 17    Doubles 0    Total 17
Performing VQE for uhf
Number of VQE parameters: 17
Initial configuration: |000001111111>
Convergence criteria: ftol = 1E-09, gtol = 1E-05
Derivatives: Analytical
     1: E[UHF] = 13.094775309531  <S**2> = +1.374397914600914  Grad = 9.67e+00  CPU Time = 0.06866  (0.00315 / step)
    70: E[UHF] = 5.561083535713  <S**2> = +2.480596799707898  Grad = 5.91e-03  CPU Time = 0.02708  (0.00437 / step)
    71: E[UHF] = 5.561073371744  <S**2> = +2.480997325720290  Grad = 1.00e-02  CPU Time = 0.02720  (0.00434 / step)
    72: E[UHF] = 5.561061402869  <S**2> = +2.480838073274972  Grad = 7.91e-03  CPU Time = 0.02752  (0.00444 / step)
    73: E[UHF] = 5.561056403439  <S**2> = +2.480364567954796  Grad = 1.10e-02  CPU Time = 0.02748  (0.00438 / step)
    74: E[UHF] = 5.561050518489  <S**2> = +2.480361394580361  Grad = 3.70e-03  CPU Time = 0.02726  (0.00441 / step)
    75: E[UHF] = 5.561049058904  <S**2> = +2.480460378484985  Grad = 2.96e-03  CPU Time = 0.02759  (0.00437 / step)
    76: E[UHF] = 5.561047849651  <S**2> = +2.480342333193320  Grad = 3.26e-03  CPU Time = 0.02718  (0.00440 / step)
    77: E[UHF] = 5.561046552878  <S**2> = +2.480578645662857  Grad = 6.56e-03  CPU Time = 0.02746  (0.00442 / step)
    78: E[UHF] = 5.561045236939  <S**2> = +2.480436860643223  Grad = 2.61e-03  CPU Time = 0.02757  (0.00444 / step)
    79: E[UHF] = 5.561044764328  <S**2> = +2.480432083027982  Grad = 1.19e-03  CPU Time = 0.02699  (0.00431 / step)
    80: E[UHF] = 5.561044698951  <S**2> = +2.480412420449074  Grad = 1.40e-03  CPU Time = 0.02731  (0.00440 / step)
    81: E[UHF] = 5.561044648256  <S**2> = +2.480424018440156  Grad = 5.71e-04  CPU Time = 0.02777  (0.00443 / step)
    82: E[UHF] = 5.561044624942  <S**2> = +2.480418989339712  Grad = 4.30e-04  CPU Time = 0.02732  (0.00438 / step)
    83: E[UHF] = 5.561044591453  <S**2> = +2.480398346167314  Grad = 5.57e-04  CPU Time = 0.02753  (0.00443 / step)
    84: E[UHF] = 5.561044581544  <S**2> = +2.480372596350523  Grad = 3.22e-04  CPU Time = 0.02751  (0.00440 / step)
    85: E[UHF] = 5.561044577817  <S**2> = +2.480381439874995  Grad = 1.14e-04  CPU Time = 0.02732  (0.00445 / step)
    86: E[UHF] = 5.561044577817  <S**2> = +2.480381439874995  Grad = 1.14e-04  CPU Time = 0.01003  (0.00448 / step)
(UHF state)
      Basis              Coef
| 100110010111 > : +0.4711 +0.0000i
| 100110011101 > : -0.6382 +0.0000i
| 100110110101 > : +0.4710 +0.0000i
| 100111001101 > : -0.1122 +0.0000i
| 110110011100 > : +0.1122 +0.0000i


VQE Done: CPU Time =          2.6447

uhf (vqe) 
      Basis              Coef
| 100110010111 > : +0.4711 +0.0000i
| 100110011101 > : -0.6382 +0.0000i
| 100110110101 > : +0.4710 +0.0000i
| 100111001101 > : -0.1122 +0.0000i
| 110110011100 > : +0.1122 +0.0000i

 === Computing 1RDM === 
Saved in ./hubbard_6sites_U8_doped.qkt.
+-------------+
|  Job #   2  |
+-------------+
Hubbard model: 
   nx = 6
   ny = 1
   U  = 8.00
   Ne = 7
Tapering-Off Results:
List of redundant qubits:  [0, 1]
Qubit: 0    Tau: 1.0 [Z0 Z2 Z4 Z6 Z8 Z10]
Qubit: 1    Tau: 1.0 [Z1 Z3 Z5 Z7 Z9 Z11]

Tapering-Off Results:
List of redundant qubits:  [0, 1]
Qubit: 0    Tau: 1.0 [Z0 Z2 Z4 Z6 Z8 Z10]
Qubit: 1    Tau: 1.0 [Z1 Z3 Z5 Z7 Z9 Z11]

Entered VQE driver
Performing VQE for uccsd
Number of VQE parameters: 104
Initial configuration: |000001111111>
Convergence criteria: ftol = 1E-09, gtol = 1E-05
Derivatives: Analytical
Circuit order: Exp[T1] Exp[T2] |0>
Initial: E[uccsd] = +24.000000000000  <S**2> = +0.750000  rho = 1  
      1: E[uccsd] = +13.094775383980  <S**2> = +1.374398  Grad = 1.13e+01  CPU Time =    0.12509  (0.00 / step)
      2: E[uccsd] = +11.967360784394  <S**2> = +1.622802  Grad = 1.01e+01  CPU Time =    0.06379  (0.00 / step)
      3: E[uccsd] = +7.288637887590  <S**2> = +1.617307  Grad = 4.88e+00  CPU Time =    0.16359  (0.00 / step)
      4: E[uccsd] = +6.984300076491  <S**2> = +1.592894  Grad = 6.35e+00  CPU Time =    0.10345  (0.00 / step)
      5: E[uccsd] = +6.213715629058  <S**2> = +1.579899  Grad = 2.43e+00  CPU Time =    0.10330  (0.00 / step)
      6: E[uccsd] = +5.987281818682  <S**2> = +1.520271  Grad = 1.92e+00  CPU Time =    0.10354  (0.00 / step)
      7: E[uccsd] = +5.601248664263  <S**2> = +1.423562  Grad = 2.00e+00  CPU Time =    0.10351  (0.00 / step)
      8: E[uccsd] = +5.393548729413  <S**2> = +1.330863  Grad = 1.47e+00  CPU Time =    0.10320  (0.00 / step)
      9: E[uccsd] = +5.295104948793  <S**2> = +1.254760  Grad = 1.21e+00  CPU Time =    0.10301  (0.00 / step)
     10: E[uccsd] = +5.240482202705  <S**2> = +1.200955  Grad = 9.14e-01  CPU Time =    0.10337  (0.00 / step)
     11: E[uccsd] = +5.184938376517  <S**2> = +1.117333  Grad = 9.31e-01  CPU Time =    0.10331  (0.00 / step)
     12: E[uccsd] = +5.100502277336  <S**2> = +0.972467  Grad = 1.18e+00  CPU Time =    0.10318  (0.00 / step)
     13: E[uccsd] = +5.029189783376  <S**2> = +0.853931  Grad = 1.39e+00  CPU Time =    0.10366  (0.00 / step)
     14: E[uccsd] = +4.974332175900  <S**2> = +0.831099  Grad = 1.15e+00  CPU Time =    0.10399  (0.00 / step)
     15: E[uccsd] = +4.942449761971  <S**2> = +0.825355  Grad = 5.38e-01  CPU Time =    0.10330  (0.00 / step)
     16: E[uccsd] = +4.928278367889  <S**2> = +0.815832  Grad = 5.32e-01  CPU Time =    0.10361  (0.00 / step)
     17: E[uccsd] = +4.906436319426  <S**2> = +0.812520  Grad = 5.55e-01  CPU Time =    0.10345  (0.00 / step)
     18: E[uccsd] = +4.883574067714  <S**2> = +0.814984  Grad = 6.73e-01  CPU Time =    0.10379  (0.00 / step)
     19: E[uccsd] = +4.862962901583  <S**2> = +0.820251  Grad = 5.90e-01  CPU Time =    0.10326  (0.00 / step)
     20: E[uccsd] = +4.845973210456  <S**2> = +0.813122  Grad = 4.33e-01  CPU Time =    0.10284  (0.00 / step)
     21: E[uccsd] = +4.825441218377  <S**2> = +0.810254  Grad = 4.47e-01  CPU Time =    0.10324  (0.00 / step)
     22: E[uccsd] = +4.814402676197  <S**2> = +0.814107  Grad = 4.43e-01  CPU Time =    0.10372  (0.00 / step)
     23: E[uccsd] = +4.805131403059  <S**2> = +0.823925  Grad = 2.41e-01  CPU Time =    0.10333  (0.00 / step)
     24: E[uccsd] = +4.799958611562  <S**2> = +0.836230  Grad = 2.53e-01  CPU Time =    0.10351  (0.00 / step)
     25: E[uccsd] = +4.796414782630  <S**2> = +0.846837  Grad = 2.96e-01  CPU Time =    0.10327  (0.00 / step)
     26: E[uccsd] = +4.791693639802  <S**2> = +0.850857  Grad = 3.17e-01  CPU Time =    0.10339  (0.00 / step)
     27: E[uccsd] = +4.784770790531  <S**2> = +0.855069  Grad = 2.67e-01  CPU Time =    0.10345  (0.00 / step)
     28: E[uccsd] = +4.779722363796  <S**2> = +0.851111  Grad = 2.29e-01  CPU Time =    0.10340  (0.00 / step)
     29: E[uccsd] = +4.774122752817  <S**2> = +0.840709  Grad = 2.68e-01  CPU Time =    0.10357  (0.00 / step)
     30: E[uccsd] = +4.771401548183  <S**2> = +0.832323  Grad = 2.75e-01  CPU Time =    0.10343  (0.00 / step)
     31: E[uccsd] = +4.769442337487  <S**2> = +0.832223  Grad = 1.24e-01  CPU Time =    0.10345  (0.00 / step)
     32: E[uccsd] = +4.768322874128  <S**2> = +0.834794  Grad = 1.31e-01  CPU Time =    0.10332  (0.00 / step)
     33: E[uccsd] = +4.767362848233  <S**2> = +0.829721  Grad = 1.26e-01  CPU Time =    0.10339  (0.00 / step)
     34: E[uccsd] = +4.766524004095  <S**2> = +0.826007  Grad = 8.08e-02  CPU Time =    0.10361  (0.00 / step)
     35: E[uccsd] = +4.765946899213  <S**2> = +0.822214  Grad = 7.97e-02  CPU Time =    0.10335  (0.00 / step)
     36: E[uccsd] = +4.765586321776  <S**2> = +0.819884  Grad = 6.81e-02  CPU Time =    0.10342  (0.00 / step)
     37: E[uccsd] = +4.765260541959  <S**2> = +0.818225  Grad = 5.24e-02  CPU Time =    0.10341  (0.00 / step)
     38: E[uccsd] = +4.765002810015  <S**2> = +0.817747  Grad = 6.47e-02  CPU Time =    0.10342  (0.00 / step)
     39: E[uccsd] = +4.764790785960  <S**2> = +0.818755  Grad = 4.72e-02  CPU Time =    0.10344  (0.00 / step)
     40: E[uccsd] = +4.764589417713  <S**2> = +0.820296  Grad = 4.24e-02  CPU Time =    0.10325  (0.00 / step)
     41: E[uccsd] = +4.764442558517  <S**2> = +0.822686  Grad = 4.69e-02  CPU Time =    0.10330  (0.00 / step)
     42: E[uccsd] = +4.764354440240  <S**2> = +0.822996  Grad = 2.81e-02  CPU Time =    0.10317  (0.00 / step)
     43: E[uccsd] = +4.764318082646  <S**2> = +0.822662  Grad = 1.51e-02  CPU Time =    0.10331  (0.00 / step)
     44: E[uccsd] = +4.764298805045  <S**2> = +0.822362  Grad = 1.12e-02  CPU Time =    0.10327  (0.00 / step)
     45: E[uccsd] = +4.764287160029  <S**2> = +0.822325  Grad = 1.34e-02  CPU Time =    0.10322  (0.00 / step)
     46: E[uccsd] = +4.764273825568  <S**2> = +0.822270  Grad = 1.15e-02  CPU Time =    0.10320  (0.00 / step)
     47: E[uccsd] = +4.764253582423  <S**2> = +0.821858  Grad = 1.48e-02  CPU Time =    0.10340  (0.00 / step)
     48: E[uccsd] = +4.764240745660  <S**2> = +0.821373  Grad = 1.76e-02  CPU Time =    0.10317  (0.00 / step)
     49: E[uccsd] = +4.764230902736  <S**2> = +0.821267  Grad = 7.77e-03  CPU Time =    0.10332  (0.00 / step)
     50: E[uccsd] = +4.764227043866  <S**2> = +0.821152  Grad = 4.58e-03  CPU Time =    0.10352  (0.00 / step)
     51: E[uccsd] = +4.764224762705  <S**2> = +0.821097  Grad = 4.36e-03  CPU Time =    0.10340  (0.00 / step)
     52: E[uccsd] = +4.764222294759  <S**2> = +0.821040  Grad = 9.44e-03  CPU Time =    0.10322  (0.00 / step)
     53: E[uccsd] = +4.764219634379  <S**2> = +0.821086  Grad = 4.26e-03  CPU Time =    0.10323  (0.00 / step)
     54: E[uccsd] = +4.764218462868  <S**2> = +0.821141  Grad = 3.38e-03  CPU Time =    0.10340  (0.00 / step)
     55: E[uccsd] = +4.764217040732  <S**2> = +0.821208  Grad = 3.86e-03  CPU Time =    0.10328  (0.00 / step)
     56: E[uccsd] = +4.764216031646  <S**2> = +0.821265  Grad = 7.53e-03  CPU Time =    0.10346  (0.00 / step)
     57: E[uccsd] = +4.764214578119  <S**2> = +0.821250  Grad = 3.64e-03  CPU Time =    0.10314  (0.00 / step)
     58: E[uccsd] = +4.764213404474  <S**2> = +0.821220  Grad = 2.96e-03  CPU Time =    0.10356  (0.00 / step)
     59: E[uccsd] = +4.764212461098  <S**2> = +0.821207  Grad = 3.32e-03  CPU Time =    0.10318  (0.00 / step)
     60: E[uccsd] = +4.764211237724  <S**2> = +0.821221  Grad = 7.10e-03  CPU Time =    0.10332  (0.00 / step)
     61: E[uccsd] = +4.764209659259  <S**2> = +0.821218  Grad = 3.62e-03  CPU Time =    0.10310  (0.00 / step)
     62: E[uccsd] = +4.764208281227  <S**2> = +0.821230  Grad = 3.62e-03  CPU Time =    0.10346  (0.00 / step)
     63: E[uccsd] = +4.764205268074  <S**2> = +0.821253  Grad = 6.42e-03  CPU Time =    0.10297  (0.00 / step)
     64: E[uccsd] = +4.764201827634  <S**2> = +0.821255  Grad = 1.00e-02  CPU Time =    0.10346  (0.00 / step)
     65: E[uccsd] = +4.764197459392  <S**2> = +0.821266  Grad = 7.92e-03  CPU Time =    0.10329  (0.00 / step)
     66: E[uccsd] = +4.764193934953  <S**2> = +0.821265  Grad = 4.64e-03  CPU Time =    0.10353  (0.00 / step)
     67: E[uccsd] = +4.764191984403  <S**2> = +0.821279  Grad = 5.70e-03  CPU Time =    0.10315  (0.00 / step)
     68: E[uccsd] = +4.764190846164  <S**2> = +0.821290  Grad = 3.81e-03  CPU Time =    0.10313  (0.00 / step)
     69: E[uccsd] = +4.764189990134  <S**2> = +0.821308  Grad = 3.16e-03  CPU Time =    0.10350  (0.00 / step)
     70: E[uccsd] = +4.764188566638  <S**2> = +0.821363  Grad = 4.01e-03  CPU Time =    0.10336  (0.00 / step)
     71: E[uccsd] = +4.764188010295  <S**2> = +0.821421  Grad = 7.15e-03  CPU Time =    0.10343  (0.00 / step)
     72: E[uccsd] = +4.764187023035  <S**2> = +0.821422  Grad = 3.33e-03  CPU Time =    0.10326  (0.00 / step)
     73: E[uccsd] = +4.764186333542  <S**2> = +0.821433  Grad = 2.17e-03  CPU Time =    0.10350  (0.00 / step)
     74: E[uccsd] = +4.764185872556  <S**2> = +0.821449  Grad = 2.20e-03  CPU Time =    0.10362  (0.00 / step)
     75: E[uccsd] = +4.764185235290  <S**2> = +0.821462  Grad = 2.13e-03  CPU Time =    0.10336  (0.00 / step)
     76: E[uccsd] = +4.764184951507  <S**2> = +0.821464  Grad = 2.98e-03  CPU Time =    0.17815  (0.00 / step)
     77: E[uccsd] = +4.764184544926  <S**2> = +0.821463  Grad = 1.73e-03  CPU Time =    0.10372  (0.00 / step)
     78: E[uccsd] = +4.764184242364  <S**2> = +0.821451  Grad = 1.77e-03  CPU Time =    0.10332  (0.00 / step)
     79: E[uccsd] = +4.764183781638  <S**2> = +0.821428  Grad = 2.52e-03  CPU Time =    0.10321  (0.00 / step)
     80: E[uccsd] = +4.764183230345  <S**2> = +0.821413  Grad = 3.19e-03  CPU Time =    0.10319  (0.00 / step)
     81: E[uccsd] = +4.764182716900  <S**2> = +0.821431  Grad = 2.73e-03  CPU Time =    0.10348  (0.00 / step)
     82: E[uccsd] = +4.764182437516  <S**2> = +0.821474  Grad = 1.45e-03  CPU Time =    0.10350  (0.00 / step)
     83: E[uccsd] = +4.764182342740  <S**2> = +0.821506  Grad = 8.39e-04  CPU Time =    0.10343  (0.00 / step)
     84: E[uccsd] = +4.764182288974  <S**2> = +0.821547  Grad = 6.26e-04  CPU Time =    0.10337  (0.00 / step)
